"Compound_ID","MOA"
"DMSO","DMSO"
"?6-??-?Aminocaproic acid","plasminogen activator inhibitor"
"(-)-Arctigenin","MEK inhibitor"
"(-)-Blebbistatin","ATPase inhibitor"
"(-)-Epicatechin gallate","bacterial DNA gyrase inhibitor"
"(-)-Epigallocatechin Gallate","bacterial DNA gyrase inhibitor"
"(-)-Huperzine A (HupA)","glutamate receptor antagonist"
"(-)-Menthol","opioid receptor antagonist"
"(-)-MK 801 Maleate","glutamate receptor antagonist"
"(-)-Parthenolide","NFkB pathway inhibitor"
"(-)-Sparteine Sulfate","sodium channel blocker"
"(-)-Tetramisole","acetylcholine receptor agonist"
"(-)Epicatechin","bacterial DNA gyrase inhibitor"
"(+.-)-Octopamine HCl","trace amine associated receptor agonist"
"(+)-Bicuculline","GABA receptor antagonist"
"(+)-Catechin","fatty acid synthase inhibitor"
"(+)-JQ1","bromodomain inhibitor"
"(+)-Matrine","opioid receptor antagonist"
"(+/-)-Sulfinpyrazone","uricosuric blocker"
"(±)-Equol","estrogen receptor agonist"
"(±)-α-Tocopherol","antioxidant"
"(−)-Norepinephrine","norepinephrine reputake inhibitor"
"（6-）ε-​Aminocaproic acid","plasminogen activator inhibitor"
"(R)-(+)-Atenolol HCl","acetylcholine receptor agonist"
"(R)-baclofen","benzodiazepine receptor agonist"
"(R)-Serine","glutamate receptor agonist"
"(S)-crizotinib","MTH1 inhibitor"
"(S)-Glutamic acid","glutamate receptor agonist"
"1-Azakenpaullone","glycogen synthase kinase inhibitor"
"10-Deacetylbaccatin-III","antitumor agent"
"10058-F4","c-Myc inhibitor"
"17-AAG","HSP inhibitor"
"17-Beta-Estradiol-3.17-Dipropionate","estrogen receptor agonist"
"17-DMAG","HSP inhibitor"
"17-Hydroxyprogesterone","estrogen receptor agonist"
"2-Aminoethanethiol","tissue transglutaminase inhibitor"
"2-Aminoethyl Diphenylborinate (2-APB)","1,4,5-trisphosphate inhibitor"
"2-Methoxyestradiol (2-MeOE2)","hypoxia inducible factor inhibitor"
"2.4-dichlorobenzyl alcohol","bacterial cell wall synthesis inhibitor"
"2’-deoxyuridine","PDGFR tyrosine kinase receptor inhibitor"
"20-Hydroxyecdysone","ecdysone receptor modulator"
"3-Deazaneplanocin A (DZNeP)","histone lysine methyltransferase inhibitor"
"3-Methyladenine","PI3K inhibitor"
"3-n-Butylphathlide","potassium channel antagonist"
"3.4-Diaminopyridine","potassium channel blocker"
"4-Aminoantipyrine","cyclooxygenase inhibitor"
"4-Aminopyridine","potassium channel blocker"
"4-Aminosalicylic acid","cyclooxygenase inhibitor"
"4-Biphenylacetic acid","cyclooxygenase inhibitor"
"4-Hydroxytamoxifen","estrogen receptor agonist"
"4-Methylbenzylidene camphor","endocrine disruptor"
"4-Methylumbelliferone (4-MU)","monoamine oxidase inhibitor"
"4?8C","IRE1 inhibitor"
"4E1RCat","protein synthesis inhibitor"
"4EGI-1","protein synthesis inhibitor"
"4SC-202","HDAC inhibitor"
"5-Aminolevulinic acid HCl","oxidizing agent"
"5-hydroxymethyl Tolterodine (PNU 200577. 5-HMT. 5-HM)","acetylcholine receptor antagonist"
"5-hydroxytryptophan (5-HTP)","neurotransmitter"
"5-Methoxytryptamine","serotonin receptor antagonist"
"5.5-Dimethyloxazolidine-2.4-dione","oxazolidine antiepileptic"
"6-Aminopenicillanic acid","bacterial cell wall synthesis inhibitor"
"6-Mercaptopurine (6-MP) Monohydrate","purine antagonist, protein synthesis inhibitor, immunosuppressant"
"6-Methoxy-2-naphthoic acid","anticonvulsant"
"7-Aminocephalosporanic acid","beta lactamase inhibitor"
"8-Hydroxyquinoline","chelating agent"
"A-205804","ICAM1 expression inhibitor"
"A-674563","AKT inhibitor"
"A-769662","AMPK activator"
"A-803467","sodium channel blocker"
"A66","PI3K inhibitor"
"A922500","diacylglycerol O acyltransferase inhibitor"
"Abacavir","nucleoside reverse transcriptase inhibitor"
"Abacavir sulfate","nucleoside reverse transcriptase inhibitor"
"Abametapir","metalloproteinase inhibitor"
"Abemaciclib","CDK inhibitor"
"abemaciclib (LY2835219)","CDK inhibitor"
"Abiraterone Acetate","androgen biosynthesis inhibitor"
"ABT-199 (GDC-0199)","BCL inhibitor"
"ABT-263 (Navitoclax)","BCL inhibitor"
"ABT-737","BCL inhibitor"
"ABT-751 (E7010)","tubulin polymerization inhibitor"
"ABX-1431","monoacylglycerol lipase inhibitor"
"AC480 (BMS-599626)","protein tyrosine kinase inhibitor, EGFR inhibitor"
"Acadesine","AMPK activator"
"Acalabrutinib (ACP-196)","Bruton's tyrosine kinase (BTK) inhibitor"
"Acamprosate Calcium","GABA receptor antagonist"
"Acarbose","glucosidase inhibitor"
"Acebutolol HCl","adrenergic receptor antagonist"
"Aceclofenac","prostanoid receptor antagonist"
"Acemetacin","cyclooxygenase inhibitor"
"Acetanilide","hydrogen peroxide decomposition inhibitor"
"Acetazolamide","carbonic anhydrase inhibitor"
"Acetohexamide","ATP channel blocker"
"Acetohydroxamic acid","urease inhibitor"
"Acetylcholine Chloride","acetylcholine receptor agonist"
"Acetylcholine iodide","acetylcholine receptor agonist"
"Acetylcysteine","mucolytic agent"
"Acetylspiramycin (ASPM)","bacterial cell wall synthesis inhibitor"
"Aciclovir","DNA polymerase inhibitor"
"Acipimox","cholesterol inhibitor"
"Acitretin","retinoid receptor agonist"
"Aclacinomycin","proteasome inhibitor"
"Aclidinium Bromide","acetylcholine receptor antagonist"
"Acotiamide","acetylcholine receptor antagonist"
"Acrivastine","histamine receptor antagonist"
"Actarit","interleukin receptor agonist"
"Adapalene","retinoid receptor agonist"
"Adavivint (SM04690)","porcupine inhibitor"
"Adavosertib （MK-1775）","WEE1 kinase inhibitor"
"Adefovir Dipivoxil","DNA polymerase inhibitor"
"Ademetionine","methyltransferase stimulant, phosphodiesterase inhibitor"
"Adenine HCl","protein synthesis stimulant"
"Adenine sulfate","thymidylate synthase inhibitor"
"Adenosine","adenosine receptor agonist"
"Adenosine 5'-monophosphate monohydrate","AMPK activator"
"Adiphenine HCl","acetylcholine receptor antagonist"
"AdipoRon","adiponectin receptor agonist"
"ADL5859 HCl","opioid receptor agonist"
"Adrafinil","adrenergic receptor agonist"
"Adrenalone HCl","adrenergic receptor agonist"
"ADX-47273","glutamate receptor modulator"
"AEE788 (NVP-AEE788)","VEGFR inhibitor, EGFR inhibitor"
"Afatinib (BIBW2992) Dimaleate","EGFR inhibitor"
"Afloqualone","acetylcholine receptor antagonist"
"AG-1024","insulin growth factor receptor inhibitor"
"AG-14361","PARP inhibitor"
"AG-1478 (Tyrphostin AG-1478)","EGFR inhibitor"
"AG-18","tyrosine kinase inhibitor, EGFR inhibitor"
"AG-490 (Tyrphostin B42)","JAK inhibitor, EGFR inhibitor"
"AGI-5198","isocitrate dehydrogenase inhibitor"
"AGI-6780","isocitrate dehydrogenase inhibitor"
"Agomelatine","melatonin receptor agonist, serotonin receptor antagonist"
"Ajmaline","sodium channel blocker"
"AKBA","lipoxygenase inhibitor"
"Alarelin Acetate","gonadotropin releasing factor hormone receptor antagonist"
"Albendazole","anthelmintic agent, tubulin polymerization inhibitor"
"Albendazole Oxide","anthelmintic agent"
"Alcaftadine","histamine receptor antagonist"
"Alectinib (CH5424802)","ALK tyrosine kinase receptor inhibitor"
"Alectinib hydrochloride","ALK tyrosine kinase receptor inhibitor"
"Alfacalcidol","vitamin D receptor agonist"
"Alfuzosin HCl","adrenergic receptor antagonist"
"Alibendol","antispasmodic"
"Alimemazine Tartrate","histamine receptor ligand, histamine receptor antagonist"
"Alisertib (MLN8237)","Aurora kinase inhibitor"
"Aliskiren Hemifumarate","renin inhibitor"
"Alizapride HCl","dopamine receptor antagonist"
"Alizarin","cytochrome P450 inhibitor"
"Allantoin","cosmetic"
"Allopregnanolone","membrane integrity inhibitor"
"Allopurinol","xanthine oxidase inhibitor"
"Allylthiourea","nitrification inhibitor"
"Almotriptan Malate","serotonin receptor agonist"
"Aloe-emodin","anticancer agent"
"Alogliptin（SYK-322）benzoate","dipeptidyl peptidase inhibitor"
"Alogliptinï¼ˆSYK-322ï¼‰benzoate","dipeptidyl peptidase inhibitor"
"Aloin","angiogenesis inhibitor"
"Alosetron Hydrochloride","serotonin receptor antagonist"
"Aloxistatin","protease inhibitor"
"Alpelisib (BYL719)","PI3K inhibitor"
"Alprenolol hydrochloride","adrenergic receptor antagonist"
"Alprostadil","prostanoid receptor agonist"
"Altrenogest","progestogen hormone"
"Altretamine","DNA synthesis inhibitor"
"Alvelestat (AZD9668)","serine protease inhibitor"
"Alverine Citrate","muscle relaxant"
"Alvimopan dihydrate","opioid receptor antagonist"
"AM1241","cannabinoid receptor agonist"
"AM251","cannabinoid receptor antagonist"
"Amantadine HCl","glutamate receptor antagonist"
"Ambrisentan","endothelin receptor antagonist"
"Ambroxol","sodium channel blocker"
"Amcasertib (BBI503)","kinase inhibitor"
"Amenamevir","helicase primase inhibitor"
"Amezinium (methylsulfate)","monoamine oxidase inhibitor"
"Amfebutamone (Bupropion) HCl","dopamine uptake inhibitor"
"Amfebutamone HCl","dopamine uptake inhibitor"
"Amfenac Sodium Monohydrate","cyclooxygenase inhibitor"
"AMG 337","MET inhibitor"
"AMG-458","MET inhibitor"
"AMG-517","TRPV antagonist"
"AMG-900","Aurora kinase inhibitor"
"AMG319","PI3K inhibitor"
"Amidopyrine","analgesic agent"
"Amifostine","reducing agent"
"Amikacin disulfate","bacterial 30S ribosomal subunit inhibitor"
"Amikacin hydrate","bacterial 30S ribosomal subunit inhibitor"
