"Cell_Line","Compound_ID","Category","Dist","ID"
"786-0","2-Aminoethyl Diphenylborinate (2-APB)","1,4,5-trisphosphate inhibitor",1.61727166888532,"2021018063_12-9"
"786-0","Emodin","11-beta hydroxysteroid dehydrogenase inhibitor",1.09762836681122,"2021018040_1-10; 2021018056_2-14"
"786-0","Trimetazidine dihydrochloride","3-ketoacyl CoA thiolase inhibitor",0.784675934744731,"2021018059_3-6; 2021018061_5-8"
"786-0","Trilostane","3beta-hydroxy-delta5-steroid dehydrogenase inhibitor",1.37735379774758,"2021018038_10-10; 2021018055_3-8"
"786-0","Eptifibatide Acetate","5 alpha reductase inhibitor",1.67448272809851,"2021018064_7-16"
"786-0","Dutasteride","5 alpha reductase inhibitor",1.6565624904603,"2021018038_5-20; 2021018055_3-21"
"786-0","Finasteride","5 alpha reductase inhibitor",1.11868159124121,"2021018038_11-18; 2021018055_11-19"
"786-0","Somatostatin Acetate","5 alpha reductase inhibitor",0.806498902549084,"2021018064_7-22"
"786-0","CGS 21680 HCl","5 alpha reductase inhibitor",0.623385410733412,"2021018040_15-7"
"786-0","Nilotinib hydrochloride","Abl kinase inhibitor, Bcr-Abl kinase inhibitor",2.28664673277647,"2021018060_5-10"
"786-0","Nilotinib (AMN-107)","Abl kinase inhibitor, Bcr-Abl kinase inhibitor",1.675245256985,"2021018038_5-7; 2021018055_3-7"
"786-0","Avasimibe","ACAT inhibitor",4.2174525766919,"2021018040_7-13"
"786-0","Hesperetin","ACAT inhibitor",1.31146701019728,"2021018040_5-12"
"786-0","Firsocostat (GS-0976)","acetyl-CoA carboxylase inhibitor",0.957822081579099,"2021018063_8-11"
"786-0","Choline bitartrate","acetylcholine precursor",1.36068588141928,"2021018064_8-17"
"786-0","Choline Chloride","acetylcholine precursor",0.532974244171434,"2021018042_15-6; 2021018058_2-20"
"786-0","Cevimeline","acetylcholine receptor agonist",1.52320127855114,"2021018063_1-5"
"786-0","(-)-Tetramisole","acetylcholine receptor agonist",1.2330602895509,"2021018039_16-21"
"786-0","Oxiracetam","acetylcholine receptor agonist",1.08169561474327,"2021018059_7-17"
"786-0","Diphenidol HCl","acetylcholine receptor agonist",1.04087418462814,"2021018059_7-21"
"786-0","Methacholine chloride","acetylcholine receptor agonist",0.990156700615495,"2021018058_7-11"
"786-0","Levamisole hydrochloride","acetylcholine receptor agonist",0.982364506275512,"2021018064_13-9"
"786-0","Arecoline","acetylcholine receptor agonist",0.943395784181033,"2021018043_12-7"
"786-0","Varenicline Tartrate","acetylcholine receptor agonist",0.935384015009001,"2021018038_12-14; 2021018064_15-5"
"786-0","Arecoline HBr","acetylcholine receptor agonist",0.929364461827018,"2021018057_16-17"
"786-0","PNU-120596","acetylcholine receptor agonist",0.915256055230848,"2021018041_5-5"
"786-0","Acetylcholine iodide","acetylcholine receptor agonist",0.893930062621343,"2021018059_2-16"
"786-0","Decamethonium Bromide","acetylcholine receptor agonist",0.840485005909137,"2021018042_1-11; 2021018058_11-22"
"786-0","Acetylcholine Chloride","acetylcholine receptor agonist",0.833783350978514,"2021018039_4-5; 2021018062_12-12"
"786-0","Pramiracetam","acetylcholine receptor agonist",0.801802311087293,"2021018040_14-20; 2021018057_4-15"
"786-0","Piracetam","acetylcholine receptor agonist",0.749046590637757,"2021018043_16-13; 2021018057_10-4"
"786-0","Cytisine","acetylcholine receptor agonist",0.698568737452874,"2021018040_9-8; 2021018056_10-12"
"786-0","Pilocarpine HCl","acetylcholine receptor agonist",0.658652250461587,"2021018042_7-20; 2021018059_13-9"
"786-0","Bethanechol chloride","acetylcholine receptor agonist",0.643199429061344,"2021018040_2-17; 2021018057_11-11"
"786-0","(R)-(+)-Atenolol HCl","acetylcholine receptor agonist",0.633059619839283,"2021018059_6-3; 2021018059_6-13"
"786-0","Morantel tartrate","acetylcholine receptor agonist",0.59881304216123,"2021018061_14-21"
"786-0","Atenolol","acetylcholine receptor agonist, adrenergic receptor antagonist",1.33920786979356,"2021018060_9-3"
"786-0","Eperisone hydrochloride","acetylcholine receptor antagonist",1.90955279119242,"2021018060_9-13"
"786-0","Propiverine hydrochloride","acetylcholine receptor antagonist",1.74587435197811,"2021018060_3-17"
"786-0","Adiphenine HCl","acetylcholine receptor antagonist",1.65707177954977,"2021018039_6-22"
"786-0","Vecuronium Bromide","acetylcholine receptor antagonist",1.51173165398585,"2021018038_12-10; 2021018055_5-8"
"786-0","Succinylcholine Chloride Dihydrate","acetylcholine receptor antagonist",1.47338298888887,"2021018042_1-21; 2021018064_16-7"
"786-0","Sulbutiamine","acetylcholine receptor antagonist",1.36581473106404,"2021018060_3-10"
"786-0","Atracurium Besylate","acetylcholine receptor antagonist",1.33179004278797,"2021018039_12-7; 2021018056_9-19"
"786-0","Benactyzine hydrochloride","acetylcholine receptor antagonist",1.28082000901062,"2021018058_7-13"
"786-0","Isopropamide Iodide","acetylcholine receptor antagonist",1.26347001832104,"2021018061_8-13"
"786-0","Harmaline","acetylcholine receptor antagonist",1.26340566964103,"2021018059_14-20"
"786-0","Dicyclomine HCl","acetylcholine receptor antagonist",1.23631792698353,"2021018059_2-13"
"786-0","Acotiamide","acetylcholine receptor antagonist",1.22024634662016,"2021018060_4-17; 2021018060_15-5"
"786-0","Cyclopentolate Hydrochloride","acetylcholine receptor antagonist",1.17339494051609,"2021018062_6-20"
"786-0","Darifenacin HBr","acetylcholine receptor antagonist",1.1699170682379,"2021018041_6-10; 2021018057_6-12"
"786-0","Valethamate Bromide","acetylcholine receptor antagonist",1.13844723485836,"2021018060_16-9"
"786-0","Solifenacin succinate","acetylcholine receptor antagonist",1.13329054368109,"2021018041_6-21; 2021018060_11-14; 2021018064_11-17"
"786-0","Tolterodine tartrate","acetylcholine receptor antagonist",1.11110452518093,"2021018040_16-12; 2021018057_10-7"
"786-0","5-hydroxymethyl Tolterodine (PNU 200577. 5-HMT. 5-HM)","acetylcholine receptor antagonist",1.09476205616647,"2021018041_15-7"
"786-0","Lobeline hydrochloride","acetylcholine receptor antagonist",1.08962911070911,"2021018058_9-4"
"786-0","Glycopyrrolate","acetylcholine receptor antagonist",1.0842210713952,"2021018059_4-6"
"786-0","Mecamylamine Hydrochloride","acetylcholine receptor antagonist",1.04917856713562,"2021018062_3-20"
"786-0","Trihexyphenidyl hydrochloride","acetylcholine receptor antagonist",1.0400469365212,"2021018059_1-6"
"786-0","Scopolamine HBr trihydrate","acetylcholine receptor antagonist",1.03280898602984,"2021018061_11-14"
"786-0","Tacrine hydrochloride hydrate","acetylcholine receptor antagonist",1.00942425889398,"2021018058_15-3"
"786-0","Atropine sulfate","acetylcholine receptor antagonist",1.00618260315565,"2021018061_3-7"
"786-0","Cisatracurium Besylate","acetylcholine receptor antagonist",0.941640271289842,"2021018040_7-3; 2021018056_3-18"
"786-0","Afloqualone","acetylcholine receptor antagonist",0.933664183536907,"2021018058_13-7"
"786-0","Otilonium Bromide","acetylcholine receptor antagonist",0.908119240546844,"2021018041_4-21; 2021018057_1-22"
"786-0","Orphenadrine Hydrochloride","acetylcholine receptor antagonist",0.905501001460298,"2021018061_10-9"
"786-0","Scopolamine HBr","acetylcholine receptor antagonist",0.890859120871146,"2021018040_14-4; 2021018057_5-21; 2021018062_7-14"
"786-0","Homatropine Methylbromide","acetylcholine receptor antagonist",0.887215491148506,"2021018058_1-14"
"786-0","Mebeverine Hydrochloride","acetylcholine receptor antagonist",0.884799356874518,"2021018060_16-7"
"786-0","Rocuronium Bromide","acetylcholine receptor antagonist",0.878026959335062,"2021018038_16-8; 2021018055_9-6"
"786-0","Mivacurium chloride","acetylcholine receptor antagonist",0.859539039942846,"2021018061_6-11"
"786-0","Pancuronium dibromide","acetylcholine receptor antagonist",0.844498824503796,"2021018043_14-5; 2021018057_3-19"
